ID,K,Question,Reference,Generated_Answer,Evidence_Coverage,Answer_Similarity,Quality_Score,Prompt_Tokens,Generated_Tokens,Total_Tokens,Retrieval_Time_Seconds,Generation_Time_Seconds,Total_Latency_Seconds,Num_Retrieved_Chunks,Primary_Category,Secondary_Category,Complexity,Answerable
EQ001,1,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.5220289546471686,0.8088115818588675,403,80,483,0.0167842410000957,11.25502700800007,11.271811249000166,1,Factual,,Low,Yes
EQ001,2,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","Federal agencies rely on three types of support for cybersecurity incident response: tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",1.0,0.5330444565836127,0.813217782633445,941,79,1020,0.0167842410000957,8.876050194999607,8.892834435999703,2,Factual,,Low,Yes
EQ001,3,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.4783040974536873,0.7913216389814749,1137,77,1214,0.0167842410000957,9.179978415999813,9.196762656999908,3,Factual,,Low,Yes
EQ001,4,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",1.0,0.4783040974536873,0.7913216389814749,1679,77,1756,0.0167842410000957,10.03145023900015,10.048234480000247,4,Factual,,Low,Yes
EQ001,5,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.4783040974536873,0.7913216389814749,1910,77,1987,0.0167842410000957,10.06655385699969,10.083338097999786,5,Factual,,Low,Yes
EQ001,6,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third-party firms; and resources such as skilled staff and funding.",1.0,0.4783040974536873,0.7913216389814749,2158,77,2235,0.0167842410000957,10.939211044999864,10.95599528599996,6,Factual,,Low,Yes
EQ001,7,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. These include tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.4783040974536873,0.7913216389814749,2721,77,2798,0.0167842410000957,13.362061011999684,13.37884525299978,7,Factual,,Low,Yes
EQ001,8,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.5220289546471686,0.8088115818588675,3269,80,3349,0.0167842410000957,16.583840899999814,16.60062514099991,8,Factual,,Low,Yes
EQ001,9,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.5220289546471686,0.8088115818588675,3805,80,3885,0.0167842410000957,19.44881762700016,19.465601868000256,9,Factual,,Low,Yes
EQ001,10,What three types of support do federal agencies rely on for cybersecurity incident response?,"They rely on tools, services, and resources such as skilled staff and funding.","The three types of support federal agencies rely on for cybersecurity incident response are tools, services, and resources. Specifically, they depend on tools such as endpoint detection and response (EDR) solutions and the Continuous Diagnostics and Mitigation (CDM) program; services such as threat hunting or cyber threat intelligence provided by CISA and third party firms; and resources such as skilled staff and funding.",1.0,0.5220289546471686,0.8088115818588675,4377,80,4457,0.0167842410000957,22.870651032000296,22.887435273000392,10,Factual,,Low,Yes
